,index,pol,mean_sigma0,std_sigma0,mean_sigma0_dB,std_sigma0_dB
371,130,VH,-9.74913169456566e-05,0.0005735589566478336,,
372,79621,VV,0.024955672021376826,0.013774594234404133,,
373,79621,VH,0.0003628199609182263,0.0019258613576358652,,
374,131,VV,0.011437829676402616,0.0059537562178148306,,
375,131,VH,0.00023866523502674095,0.0004885872250409434,,
376,132,VV,0.016857122614608817,0.009549584259226227,,
377,132,VH,0.00038748840455248647,0.0018393221846300122,,
378,133,VV,0.021321377123839875,0.011841585964295699,,
379,133,VH,-0.00032045117565191643,0.0013196973702624727,,
380,79624,VV,0.006838960178323019,0.003743556002038168,,
381,79624,VH,0.00011951448334256012,0.0005480004210584518,,
382,134,VV,0.006796094182708622,0.00388172516599527,,
383,134,VH,5.672468186678659e-06,0.0005151580016414622,,
384,135,VV,0.008398823343267239,0.004415891595048676,,
385,135,VH,0.0004648345570162023,0.0007081499045078361,,
386,137,VV,-0.000467419280757863,0.000944692917875767,,
387,137,VH,-0.0002651799551138697,0.0009390736885984567,,
388,138,VV,0.0037502069853215707,0.0024174159777080105,,
389,138,VH,-0.00011515773685132575,0.000575439615079174,,
390,79629,VV,0.009967641825079199,0.0066920808681564786,,
391,79629,VH,5.583655424137191e-05,0.0018391052303414178,,
392,139,VV,0.009758655266248636,0.005085473563707463,,
393,139,VH,0.00022145033303958513,0.00047604939108490446,,
394,140,VV,0.0669440344410996,0.03540813001812763,-12.355770724304275,2.403337745844545
395,140,VH,0.0007388476613207432,0.002016300044435504,,
396,141,VV,0.013423886478613069,0.007481597520785977,,
397,141,VH,-0.0002258234797461495,0.001246518391144941,,
398,79632,VV,0.003968085240602324,0.002361791070640602,,
399,79632,VH,-1.6614546783785266e-05,0.0004816219524527222,,
400,142,VV,0.0010978435257743642,0.0011769578685750211,,
401,142,VH,-0.00016770666286807092,0.00046629314778405675,,
402,143,VV,0.0029909755031207823,0.001874878003743439,,
403,143,VH,0.00011513079591494124,0.0005360704488143372,,
404,144,VV,0.028911272693098716,0.014999764774806919,,
405,144,VH,0.00013291491677862666,0.001107202570271443,,
406,79636,VV,0.008392192794917682,0.00443315792686114,,
407,79636,VH,4.5995185552946715e-05,0.00043167924091765244,,
408,145,VV,0.0104296939210501,0.005967451710890291,,
409,145,VH,-2.3004211160077147e-05,0.0006056150312969617,,
410,79637,VV,0.01521250333776453,0.009467197908327007,,
411,79637,VH,0.00019339717307901755,0.0018711897822934723,,
412,146,VV,6.6243274774484e-05,0.0004851311120965803,,
413,146,VH,7.65946690060048e-05,0.00041593973646767226,,
414,147,VV,0.011139497712648284,0.006698617813512627,,
415,147,VH,0.00021413241149813945,0.0017641170804688466,,
416,148,VV,0.014730551289087545,0.008072272799447257,,
417,148,VH,-0.00023062546618483703,0.001224028877668074,,
418,79640,VV,0.0015305748347927274,0.0013861017502178937,,
419,79640,VH,-4.224622181079219e-05,0.0004746829321802057,,
420,149,VV,0.005998538524675358,0.0034011127336133957,,
421,149,VH,-5.7591656854393913e-05,0.0004879171798634052,,
422,150,VV,0.005591841752609541,0.0030516797609242696,,
423,150,VH,0.0001604949703923901,0.0005491831577530031,,
424,152,VV,0.01253120383069392,0.006983394613400057,,
425,152,VH,-7.898538365947722e-05,0.0009963642052449183,,
426,79644,VV,0.004475576777802374,0.0025374218401396343,,
427,79644,VH,7.006380472195959e-06,0.00041122167468223356,,
428,153,VV,0.00490398783582424,0.0028941369557850963,,
429,153,VH,-9.673265559438635e-05,0.0005600451780687329,,
430,79645,VV,0.01412013433424676,0.008535985995562016,,
431,79645,VH,0.0002675708016932457,0.0018809162097751012,,
432,64940,VV,0.016085728943164478,0.0157086293597434,,
433,64940,VH,0.0002685186773251793,0.002952410997611056,,
434,155,VV,0.03085079203187368,0.0167520693306034,,
435,155,VH,0.0005324348280082196,0.00195204623919184,,
436,156,VV,0.025059893286330716,0.013230813955772374,,
437,156,VH,-0.00010873108739284727,0.0012677942593656765,,
438,79648,VV,0.020963341310601794,0.010536100989929782,,
439,79648,VH,0.00028623679394690663,0.0006175386576716502,,
440,157,VV,0.011509479681604396,0.006129010612475211,,
441,157,VH,0.00019628375662962525,0.0006060289717880926,,
442,158,VV,0.00025608944420638503,0.0006298955244742121,,
443,158,VH,8.778513143239612e-05,0.0005012224081492054,,
444,160,VV,0.002401703409401447,0.0032597853563009673,,
445,160,VH,-0.00031278813034870377,0.0008531935023634289,,
446,79652,VV,-9.094874134434596e-05,0.0004535766856925341,,
447,79652,VH,-6.256227538712528e-05,0.00036746232378983055,,
448,161,VV,0.004031380428140411,0.0025267097583603617,,
449,161,VH,-0.00011886529673780046,0.0005348531824639289,,
450,79653,VV,0.011544613157719314,0.00739017797115597,,
451,79653,VH,0.00011450276254706898,0.0017561288655904578,,
452,162,VV,0.0001551163697204326,0.0005740065776640136,,
453,162,VH,6.612524648600623e-05,0.00039761964328383575,,
454,163,VV,0.013858094646935,0.008179664066741303,,
455,163,VH,0.00017988464421878937,0.001788547575808357,,
456,164,VV,0.004376174454390047,0.004217195144268889,,
457,164,VH,-0.00028210661500093284,0.0011362656898102617,,
458,79656,VV,0.0008236685335880573,0.0009822068291470154,,
459,79656,VH,-5.710964383565826e-05,0.00043627865379973984,,
460,165,VV,0.0004400371082111458,0.0008522266137698319,,
461,165,VH,-0.00013161040139610371,0.00043747883116198666,,
462,166,VV,0.005861344131849771,0.0031946867692897885,,
463,166,VH,0.00024286934979849382,0.0005855940467508661,,
464,168,VV,-0.0004245039668809448,0.0008672614321153602,,
465,168,VH,-0.0003093007354092193,0.0008763646358890296,,
466,169,VV,0.005168436368310401,0.0030056900054175515,,
467,169,VH,-7.77173948144855e-05,0.0005619750926869058,,
468,79546,VV,0.03182915592682356,0.016653077777651716,,
469,79546,VH,0.00041151549117318155,0.0018703458472811337,,
470,79661,VV,0.03182915592682356,0.016653077777651716,,
471,79661,VH,0.00041151549117318155,0.0018703458472811337,,
472,170,VV,0.0003563757565241654,0.0006452115102397475,,
473,170,VH,8.841640818631894e-05,0.00042073874820677945,,
474,64960,VV,0.0054048617279410065,0.014189320240540496,,
475,64960,VH,0.0002883140692214817,0.0029166441063345062,,
476,171,VV,0.01672748639097673,0.00947817877164808,,
477,171,VH,0.00027131010760354476,0.001805021996711514,,
478,172,VV,0.012372908016221958,0.007093807970747081,,
479,172,VH,-0.00022487319739625472,0.0012260904619795612,,
480,173,VV,0.005715667508020071,0.0033000386973349952,,
481,173,VH,-6.345700439356686e-05,0.00047681554816444483,,
482,174,VV,0.012318179882414704,0.0063983381384528516,,
483,174,VH,0.0002947247884841285,0.0006105266545387398,,
484,64965,VV,0.06112250813858259,0.03608717787050079,,
485,64965,VH,0.001188128428840649,0.0035292815054598103,,
486,175,VV,0.01833737067158801,0.010264420300260731,,
487,175,VH,9.56425007200021e-05,0.0014889098754522546,,
488,176,HH,0.005389616689989717,0.0017228145962188215,-22.91644416340806,1.456914911611311
489,176,HV,3.416136293424688e-05,0.00019541903461632327,,
490,1659,HH,0.001725326498443648,0.0007135901766802391,,
491,1659,HV,6.320443926980324e-05,0.00023096475283161772,,
492,64966,HH,0.053826667153468614,0.023858449595155994,-13.112149993607458,1.997221416981324
493,64966,HV,0.0004080103270088774,0.0016205663957223884,,
494,79553,HH,0.0032224428814205514,0.0012008479149006523,-25.246296991082286,1.7911041102517498
495,79553,HV,5.828230814307357e-05,0.00026636946967438264,,
496,79668,HH,0.0032224428814205514,0.0012008479149006523,-25.246296991082286,1.7911041102517498
497,79668,HV,5.828230814307357e-05,0.00026636946967438264,,
498,177,VV,0.003761869976207404,0.0023797007748327585,,
499,177,VH,-9.889622241666418e-05,0.0005550049699984701,,
500,79554,VV,0.016352649849935563,0.00959726173821449,,
501,79554,VH,0.00021198447243846007,0.001813953129548561,,
502,79669,VV,0.016352649849935563,0.00959726173821449,,
503,79669,VH,0.00021198447243846007,0.001813953129548561,,
504,178,HH,0.027361994749981043,0.04930034842962034,,
505,178,HV,-0.0002272538680974904,0.00044086390030885844,,
506,1663,HH,0.006602959525210609,0.0023624466490618948,-22.101300950277736,1.672411337421764
507,1663,HV,-0.00013659983679483256,0.0003770213177928774,,
508,41038,HH,0.021626359890941815,0.006694857327626449,-16.858612338399947,1.364463609333512
509,41038,HV,-0.00015598436642884545,0.00024832547910191366,,
510,179,HH,0.002393605724054719,0.0008613581569957734,-26.491896808748976,1.5902812134269289
511,179,HV,3.9370439789655517e-05,0.00016428125974665697,,
512,64971,HH,0.020044812383106504,0.011807387107387402,-17.41197788857436,1.8101232445184439
513,64971,HV,0.0003739644845143033,0.0010815127701789525,,
514,180,VV,0.018646213193265815,0.010466787371962157,,
515,180,VH,0.0003738708497605206,0.0017553867399821054,,
516,181,VV,0.01564271544027663,0.008913209323168558,,
517,181,VH,-0.00022138730762198436,0.001298328075304371,,
518,182,VV,0.009473426544682887,0.005012854708713912,,
519,182,VH,0.00010406669042641033,0.0005447804394921243,,
520,79559,VV,0.03401835256765748,0.01877927706331789,,
521,79559,VH,0.0007586022768088847,0.00180686310066639,,
522,79674,VV,0.03401835256765748,0.01877927706331789,,
523,79674,VH,0.0007586022768088847,0.00180686310066639,,
524,183,HH,0.03327432286184119,0.01035674146830398,-14.992659946764954,1.3858005764838375
525,183,HV,7.46427676345392e-05,0.00028949804121018344,,
526,1666,HH,0.0024246213268258173,0.0008318533824325098,-26.425756691042842,1.590301399391247
527,1666,HV,-3.3593630647398526e-06,0.00013094598771766567,,
528,41042,HH,0.003414284066118243,0.0011700629082701218,-24.939868433548792,1.5935734916070627
529,41042,HV,-3.5163035975746106e-05,0.000161108339648346,,
530,184,VV,0.06900390446563105,0.03515083912833583,-12.172247564400148,2.2787600734255804
531,184,VH,0.0014557296175228514,0.0012060628064614186,,
532,64977,VV,0.08687738852835816,0.04638589112362103,-11.186576781451869,2.3114900527706963
533,64977,VH,0.001428204232495603,0.003572269983375372,,
534,185,VV,0.009363002643482034,0.005770778100603564,,
535,185,VH,4.324033289928998e-05,0.001434839121070333,,
536,186,HH,0.004164130024300553,0.0015672699246886154,-24.107296558092607,1.6451400742332059
537,186,HV,-4.783423475828585e-05,0.00017237058751507178,,
538,24295,HH,0.000600932302150105,0.00036172405913621167,,
539,24295,HV,-7.180254242442675e-05,0.0001955319817336137,,
540,64978,HH,0.07652411348417609,0.026526348727171654,-11.371057594149201,1.3099243796028894
541,64978,HV,0.00037257616208638024,0.0016949940132983915,,
542,79562,HH,0.00045158013643153364,0.00038382461428751615,,
543,79562,HV,-6.744450299707102e-05,0.00022657477056684333,,
544,79677,HH,0.00045158013643153364,0.00038382461428751615,,
545,79677,HV,-6.744450299707102e-05,0.00022657477056684333,,
546,187,VV,0.005754529508020673,0.0033042443033532687,,
547,187,VH,-4.4804166357193774e-05,0.0005841200343976926,,
548,79563,VV,0.008545634469168199,0.007256737967028966,,
549,79563,VH,-3.313040978021131e-05,0.0017654765538432078,,
550,79678,VV,0.008545634469168199,0.007256737967028966,,
551,79678,VH,-3.313040978021131e-05,0.0017654765538432078,,
552,188,HH,0.12773707753918914,0.03772201531512143,-9.141408280841434,1.381407925284466
553,188,HV,-9.547749269168282e-05,0.0004595523024614496,,
554,1674,HH,0.005792305273200697,0.0022030951498695117,-22.691723361573466,1.715105182436973
555,1674,HV,-0.00015067104655096903,0.00039050020163557185,,
556,41048,HH,0.03304350534194008,0.010085801738957461,-15.011074661426466,1.3404902876662637
557,41048,HV,-8.097480352755753e-05,0.0002744480515699588,,
558,189,HH,0.0005464504200855876,0.0003100237358786359,,
559,189,HV,-6.850061348544685e-05,0.00013500518026353454,,
560,64983,HH,0.0178270718651939,0.016196681125363866,-18.1740235127809,2.1035110109440356
561,64983,HV,0.00024341960264630898,0.0014300988027928076,,
562,190,VV,0.0020323096482731703,0.0028795076759230323,,
563,190,VH,0.00020408909427877046,0.001726894134802727,,
564,191,VV,0.005935359987547233,0.004132984649035748,,
565,191,VH,-0.00031732067982034553,0.0011995758150715242,,
566,192,VV,0.005142540231329824,0.0029314963523378594,,
567,192,VH,-7.85896757881664e-05,0.00047473565023160695,,
568,79568,VV,0.0014381518555987263,0.0059787407884105415,,
569,79568,VH,-0.0006318572943268974,0.0015052545138993648,,
570,79683,VV,0.0014381518555987263,0.0059787407884105415,,
571,79683,VH,-0.0006318572943268974,0.0015052545138993648,,
572,193,HH,0.04095492854732373,0.012602697229680276,-14.081542493560896,1.3466487470864135
573,193,HV,0.00017021110234826016,0.0002891391286945689,,
574,41052,HH,0.00544274626119878,0.0017365513252772693,-22.86798292950825,1.4322974861450646
575,41052,HV,-5.528249238347362e-06,0.00016662298200085336,,
576,194,VV,0.035294547465882314,0.01825435031399864,-15.10586367014975,2.3305155049752515
577,194,VH,0.0013745950712641432,0.0011479099225110815,,
578,64989,VV,0.028609243177958384,0.13867282076175844,,
579,64989,VH,0.002339922452061409,0.04382139466894397,,
580,195,VV,0.004432650976115324,0.004844364460256932,,
581,195,VH,3.997357392664403e-05,0.0013927086043213183,,
582,196,HH,0.004576542679829123,0.0015908589754921555,-23.663738651974462,1.5607105464818232
583,196,HV,-9.869589067486035e-06,0.00018280000131476955,,
584,24304,HH,0.007121032777752916,0.002796750745919369,-21.795559882948773,1.6835453393180184
585,24304,HV,0.003787972058575705,0.004666329961611921,,
586,64990,HH,0.05951616377677285,0.022070587391145383,-12.531567173017052,1.5634243414527365
587,64990,HV,0.0001526590677278174,0.0014185242898051191,,
588,79571,HH,5.413592045683567e-05,0.00029866915808632734,,
589,79571,HV,-5.8005400502165724e-05,0.00023094657825733657,,
590,79686,HH,5.413592045683567e-05,0.00029866915808632734,,
591,79686,HV,-5.8005400502165724e-05,0.00023094657825733657,,
592,197,VV,0.004075221526243863,0.002507138513722882,,
593,197,VH,-0.000105295793243522,0.0005578603406325415,,
594,79572,VV,0.015784581659691436,0.009104931441865045,,
595,79572,VH,0.00023162580485040177,0.0018511361725679146,,
596,79687,VV,0.015784581659691436,0.009104931441865045,,
597,79687,VH,0.00023162580485040177,0.0018511361725679146,,
598,198,HH,0.3696805113494672,0.08915521151265869,-4.450493047908736,1.0704869057431161
599,198,HV,0.0004053499942608988,0.0005738181850601475,,
600,41058,HH,-0.0002003480603556546,0.0002197661325358516,,
601,41058,HV,-0.00022173145356938105,0.00024623810236937575,,
602,199,HH,0.006161487719338398,0.0019967658658903036,-22.33708858625116,1.453573931974647
603,199,HV,0.0003247188936705304,0.0002463175126153747,,
604,64995,HH,0.018838383199005167,0.0107898567000369,-17.662106393921388,1.7719003908036663
605,64995,HV,0.00033559169118327483,0.0016171079097577,,
606,200,VV,0.02798144802227989,0.01748494216095356,,
607,200,VH,0.00032180093648106356,0.0017338399358168216,,
608,201,VV,0.014717581694420175,0.007986069755471984,,
609,201,VH,-0.00011560999429714703,0.001240418865570286,,
610,202,VV,0.00884804272119506,0.004667680724568608,,
611,202,VH,7.823044711700952e-05,0.0005743893460475983,,
612,79577,VV,0.02575164408262881,0.014699702278455316,,
613,79577,VH,0.000555489824637534,0.001895626316951912,,
614,79692,VV,0.02575164408262881,0.014699702278455316,,
615,79692,VH,0.000555489824637534,0.001895626316951912,,
616,203,HH,0.03309353370418045,0.010264586523570346,-15.012352439291563,1.368765700317261
617,203,HV,3.266333907786596e-05,0.000275781141647812,,
618,41062,HH,0.008355138988814851,0.0026564815922512693,-21.004302456417456,1.4192858293314237
619,41062,HV,2.6776302859649393e-05,0.00018331767820759296,,
620,204,VV,0.003997248257164601,0.0024035885249874267,,
621,204,VH,0.00012361101135045994,0.0005186297663323244,,
622,65001,VV,0.04438728909503289,0.025899954731462182,,
623,65001,VH,0.0011342592784571303,0.002999988979666713,,
624,205,HH,0.029150820886443093,0.008882988361052559,-15.557536996060389,1.3521936937542536
625,205,HV,0.0007160419079744872,0.0004329894649527027,,
626,79580,HH,0.08394577779729688,0.022086808652365668,-10.9156744143704,1.1830930151939498
627,79580,HV,0.00033351562977820105,0.0008030317895898162,,
628,79695,HH,0.08394577779729688,0.022086808652365668,-10.9156744143704,1.1830930151939498
629,79695,HV,0.00033351562977820105,0.0008030317895898162,,
630,206,HH,0.03205686458320027,0.010585144740999421,-15.17873528006539,1.4571145102789007
631,206,HV,0.000734885246584983,0.0004176782011340589,,
632,24313,HH,0.012778016916218805,0.004354251229030863,-19.19102390425226,1.51563673415869
633,24313,HV,0.000731771137256521,0.0004055892874539274,,
634,65002,HH,0.1634922154446417,0.04766883794977538,-8.04247856488379,1.2441697174440614
635,65002,HV,0.0013174229750777405,0.0016890055415217805,,
636,79581,HH,0.020500785137098743,0.006796522718604949,-17.11998945335039,1.4553011266900944
637,79581,HV,0.0009028096319953405,0.0005135872986203688,,
638,79696,HH,0.020500785137098743,0.006796522718604949,-17.11998945335039,1.4553011266900944
639,79696,HV,0.0009028096319953405,0.0005135872986203688,,
640,207,VV,0.04055017202966087,0.02149827098914399,-14.523637622040388,2.370170340814332
641,207,VH,0.001266334542523249,0.0012738483148061104,,
642,79582,VV,0.07549486238719672,0.04083039171421648,,
643,79582,VH,0.0022253633682553908,0.002821264438630775,,
644,79697,VV,0.07549486238719672,0.04083039171421648,,
645,79697,VH,0.0022253633682553908,0.002821264438630775,,
646,208,HH,0.3249128464641107,0.08087851470634172,-5.015453284921983,1.080847632485955
647,208,HV,0.00026046869128767703,0.0005578612866666139,,
648,41068,HH,0.08045290867637314,0.02460161702953814,-11.148634233652869,1.3466268693101402
649,41068,HV,0.0002736833897724074,0.00038761772129537985,,
650,209,HH,0.1387587143988256,0.03865981725961858,-8.741526699569338,1.1974941282834848
651,209,HV,0.001077733897696147,0.0008305751230314861,,
652,65007,HH,0.017021864217131404,0.046168342432097366,-19.03514600364155,2.346433998978764
653,65007,HV,0.0021058639546879276,0.007744952804504277,,
654,210,HH,0.014924175652106462,0.004558910057538692,-18.467259713312924,1.360213375722415
655,210,HV,0.0010751011184022435,0.0004832751558554643,,
656,65008,HH,0.038924959242896205,0.019265729624003813,-14.45882857019264,1.693079552507043
657,65008,HV,0.00107675516205705,0.0014477657696304865,,
658,211,VV,0.055523149078755475,0.03074576451607425,,
659,211,VH,0.0015891045861562776,0.002420242734749335,,
660,212,VV,0.028204939977259653,0.014375610819440755,,
661,212,VH,-0.00010611775210066971,0.0012781680529556218,,
662,213,HH,0.0040084744003803805,0.001420849025552217,-24.24657542561684,1.5805329146498734
663,213,HV,9.913088567185418e-05,0.00019314761966033627,,
664,24318,HH,0.00959635763361435,0.0035469139818691733,-20.48839045869495,1.689839447526461
665,24318,HV,-0.00015576795132121973,0.0005903689310161496,,
666,79587,HH,0.0011857023115025489,0.0006467980423451611,,
667,79587,HV,-5.5826656442761514e-05,0.0001629407397079587,,
668,79702,HH,0.0011857023115025489,0.0006467980423451611,,
669,79702,HV,-5.5826656442761514e-05,0.0001629407397079587,,
670,214,HH,0.06400039642616885,0.01994860473013798,-12.150763046255632,1.3766758032706232
671,214,HV,0.0005817895226095459,0.0004567441055384616,,
672,41072,HH,0.01793784868555982,0.005794164600680898,-17.683056833729026,1.3948916376591416
673,41072,HV,0.00040696967664875826,0.0002990527827044916,,
674,215,VV,0.011147005507010343,0.005796457704436707,,
675,215,VH,0.00024294141860365206,0.0005857604100397953,,
676,216,HH,0.023736554044665164,0.007848294803673416,-16.48025167373869,1.4436655030908612
677,216,HV,0.0006309633413219771,0.0003989021568364753,,
678,79590,HH,0.11390187645777589,0.03051536853875456,-9.588797860956142,1.1647829618773313
679,79590,HV,0.0008899463379188696,0.0009381427783210533,,
680,79705,HH,0.11390187645777589,0.03051536853875456,-9.588797860956142,1.1647829618773313
681,79705,HV,0.0008899463379188696,0.0009381427783210533,,
682,217,HH,0.011420463582394206,0.00368381549626434,-19.649737021150738,1.4256043298008276
683,217,HV,0.00018437496895301343,0.00025071725289626704,,
684,24323,HH,0.0011688692066101662,0.0005435169723049374,,
685,24323,HV,-1.3660635134497173e-05,0.0002004978181103505,,
686,79591,HH,0.004589700089285366,0.0017565617746638283,-23.703981817755288,1.711786137909276
687,79591,HV,0.00012012605861780028,0.0002874893069990462,,
688,79706,HH,0.004589700089285366,0.0017565617746638283,-23.703981817755288,1.711786137909276
689,79706,HV,0.00012012605861780028,0.0002874893069990462,,
690,218,VV,0.021223014387416014,0.011844178210044416,,
691,218,VH,0.0007664134299775001,0.0009923575895866984,,
692,79592,VV,0.042434158771301016,0.022878522750089177,,
693,79592,VH,0.0010692399172959111,0.002200268027591129,,
694,79707,VV,0.042434158771301016,0.022878522750089177,,
695,79707,VH,0.0010692399172959111,0.002200268027591129,,
696,219,HH,0.26611139687900376,0.0686524212740259,-5.892519395095365,1.1207372928115067
697,219,HV,0.00011575541911590911,0.0005149631349698453,,
698,41078,HH,0.054799836609446914,0.017109933086230822,-12.827196828832188,1.3872888130532681
699,41078,HV,0.00023735115364572953,0.0003923969860297537,,
700,220,HH,0.10775737801212944,0.029306918421495458,-9.833037954254221,1.174504269210953
701,220,HV,0.0006262906873634102,0.0007219049658567623,,
702,221,HH,0.004717738311485783,0.0015139933657578935,-23.48795691161516,1.417888934860433
703,221,HV,0.00016611485369428042,0.00019578449535337185,,
704,222,VV,0.022232825446966125,0.011969490620658019,,
705,222,VH,0.0002725741285928629,0.0017416358822193057,,
706,223,VV,0.01069225520246133,0.006138692653010232,,
707,223,VH,-0.0002889039689451385,0.001182540912138423,,
708,224,HH,0.0012332805462786484,0.0005414880468106876,-29.540615241565696,2.0983987610744776
709,224,HV,-4.6378370020500475e-05,0.00016327703508528437,,
710,24328,HH,0.022469647875458718,0.005863894546017766,-16.637503035706835,1.1760967926388013
711,24328,HV,-3.228433030421863e-05,0.0006096999378562017,,
712,79597,HH,0.004917883221554349,0.001712349052033711,-23.351252972205625,1.5585023193418153
713,79597,HV,-6.548581148197149e-05,0.00016200114817785678,,
714,79712,HH,0.004917883221554349,0.001712349052033711,-23.351252972205625,1.5585023193418153
715,79712,HV,-6.548581148197149e-05,0.00016200114817785678,,
716,225,HH,0.06540211872856418,0.021294966074966296,-12.067574346437326,1.4029752794537438
717,225,HV,0.000227926842293511,0.00033821220281107035,,
718,41082,HH,0.01660572941521401,0.005463063619142247,-18.027581618586506,1.4263201556234595
719,41082,HV,0.00012363267796085413,0.00020795889481802177,,
720,226,VV,0.008966251823564416,0.004673072619683902,,
721,226,VH,0.00019656832735440882,0.0005520119626246452,,
722,227,HH,0.015418136585590882,0.00495175761474803,-18.33866944492944,1.390015366539168
723,227,HV,0.0003742957463846662,0.0003176243207003518,,
724,228,HH,0.009312337081414842,0.0029356591977469162,-20.532532012558796,1.4212212182708168
725,228,HV,0.0001588357655571232,0.00022879034939219718,,
726,24333,HH,0.0007765265172975245,0.0010393885167516892,,
727,24333,HV,-2.0592136832236885e-05,0.0002716455728125574,,
728,229,VV,0.001907552648624639,0.0017382400698466095,,
729,229,VH,-0.00014307001073822397,0.0005444714856542559,,
730,230,HH,0.017166486147200875,0.02409529106423076,-21.296309801912596,5.672836332945534
731,230,HV,-0.00024202428249780274,0.0003964049790683043,,
732,41088,HH,0.030489669928152486,0.009927078622094554,-15.394899238788152,1.4620766254172657
733,41088,HV,-7.6798713631655e-05,0.0002776861838809992,,
